Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mahmoud Abdul-Rauf\abdulma02,PG,27,SAC,75,51,2131,411,924,0.445,94,246,0.382,317,678,0.468,0.496,115,136,0.846,16,106,122,189,56,6,119,174,1031
2,Shareef Abdur-Rahim\abdursh01,PF,20,VAN,80,71,2802,550,1214,0.453,7,27,0.259,543,1187,0.457,0.456,387,519,0.746,216,339,555,175,79,79,225,199,1494
3,Rafael Addison\addisra01,SF,32,CHH,41,3,355,49,122,0.402,8,20,0.4,41,102,0.402,0.434,22,28,0.786,19,26,45,34,8,3,17,52,128
4,Cory Alexander\alexaco01,PG,23,SAS,80,6,1454,194,490,0.396,94,252,0.373,100,238,0.42,0.492,95,129,0.736,29,94,123,254,82,16,146,148,577
5,Jerome Allen\allenje01,SG,24,TOT,76,1,943,78,221,0.353,30,93,0.323,48,128,0.375,0.421,42,72,0.583,25,73,98,152,31,4,69,84,228
5,Jerome Allen\allenje01,SG,24,IND,51,1,692,57,147,0.388,23,59,0.39,34,88,0.386,0.466,27,47,0.574,13,52,65,109,27,0,56,67,164
5,Jerome Allen\allenje01,SG,24,DEN,25,0,251,21,74,0.284,7,34,0.206,14,40,0.35,0.331,15,25,0.6,12,21,33,43,4,4,13,17,64
6,Ray Allen*\allenra02,SG,21,MIL,82,81,2532,390,908,0.43,117,298,0.393,273,610,0.448,0.494,205,249,0.823,97,229,326,210,75,10,149,218,1102
7,Derrick Alston\alstode01,C,24,ATL,2,0,11,0,5,0,0,0,,0,5,0,0,0,2,0,3,1,4,0,0,0,0,0,0
8,Ashraf Amaya\amayaas01,PF,25,WSB,31,0,144,12,40,0.3,1,1,1,11,39,0.282,0.313,15,28,0.536,19,33,52,3,7,3,10,29,40
9,Greg Anderson\andergr01,C,32,SAS,82,48,1659,130,262,0.496,0,1,0,130,261,0.498,0.496,62,93,0.667,157,291,448,34,63,67,73,225,322
10,Kenny Anderson\anderke01,PG,26,POR,82,81,3081,485,1137,0.427,132,366,0.361,353,771,0.458,0.485,334,435,0.768,91,272,363,584,162,15,193,222,1436
11,Nick Anderson\anderni01,SG,29,ORL,63,61,2163,288,725,0.397,143,405,0.353,145,320,0.453,0.496,38,94,0.404,66,238,304,182,120,32,86,160,757
12,Shandon Anderson\andersh01,SG,23,UTA,65,0,1066,147,318,0.462,24,47,0.511,123,271,0.454,0.5,68,99,0.687,52,127,179,49,27,8,73,113,386
13,Willie Anderson\anderwi01,SG,30,MIA,28,1,303,29,64,0.453,8,19,0.421,21,45,0.467,0.516,17,20,0.85,15,27,42,34,14,4,19,36,83
14,Greg Anthony\anthogr01,PG,29,VAN,65,44,1863,199,507,0.393,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616
15,B.J. Armstrong\armstbj01,PG,29,GSW,49,17,1020,148,327,0.453,25,90,0.278,123,237,0.519,0.491,68,79,0.861,7,67,74,126,25,2,53,56,389
16,Darrell Armstrong\armstda01,PG,28,ORL,67,0,1010,132,345,0.383,55,181,0.304,77,164,0.47,0.462,92,106,0.868,35,41,76,175,61,9,99,114,411
17,Vincent Askew\askewvi01,SG,30,TOT,43,0,838,81,186,0.435,7,24,0.292,74,162,0.457,0.454,70,88,0.795,25,73,98,90,17,6,46,123,239
17,Vincent Askew\askewvi01,SG,30,NJN,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
17,Vincent Askew\askewvi01,SG,30,IND,41,0,822,79,183,0.432,7,24,0.292,72,159,0.453,0.451,68,86,0.791,25,73,98,90,17,6,42,122,233
17,Vincent Askew\askewvi01,SG,30,DEN,1,0,9,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,0,0,0,0,0,0,4,0,6
18,Keith Askins\askinke01,SF,29,MIA,78,30,1773,138,319,0.433,69,172,0.401,69,147,0.469,0.541,39,58,0.672,86,185,271,75,53,19,59,196,384
19,Stacey Augmon\augmost01,SG,28,TOT,60,10,942,105,220,0.477,0,0,,105,220,0.477,0.477,69,97,0.711,47,91,138,56,42,17,64,87,279
19,Stacey Augmon\augmost01,SG,28,DET,20,3,292,31,77,0.403,0,0,,31,77,0.403,0.403,28,41,0.683,14,35,49,15,10,10,27,29,90
19,Stacey Augmon\augmost01,SG,28,POR,40,7,650,74,143,0.517,0,0,,74,143,0.517,0.517,41,56,0.732,33,56,89,41,32,7,37,58,189
20,Isaac Austin\austiis01,C,27,MIA,82,17,1881,321,639,0.502,0,3,0,321,636,0.505,0.502,150,226,0.664,136,342,478,101,45,43,161,244,792
21,Vin Baker\bakervi01,PF,25,MIL,78,78,3159,632,1251,0.505,15,54,0.278,617,1197,0.515,0.511,358,521,0.687,267,537,804,211,81,112,245,275,1637
22,Charles Barkley*\barklch01,PF,33,HOU,53,53,2009,335,692,0.484,58,205,0.283,277,487,0.569,0.526,288,415,0.694,212,504,716,248,69,25,151,153,1016
23,Dana Barros\barroda01,PG,29,BOS,24,8,708,110,253,0.435,43,105,0.41,67,148,0.453,0.52,37,43,0.86,5,43,48,81,26,6,39,34,300
24,Brent Barry\barrybr01,SG,25,LAC,59,0,1094,155,379,0.409,56,173,0.324,99,206,0.481,0.483,76,93,0.817,30,80,110,154,51,15,76,88,442
